page,name,rate,time,IP,favor,comment
2,往日之昔,1,2024/5/1 1:19,山西,7,救命，为什么还有剧在为魏晋南北朝招魂……女主喊着独立女性，结果受了情伤还要找男人，不如女配。还有女主的脸彻底不能看了，身材管理也要注意了啊。权谋幼稚不能看，张晚意是真有信念感。
2,Vivian,3,2024/1/5 7:21,上海,260,檀健次第一，邓为第二名，张晚意第三，杨紫还是原地踏步。涂山憬太窝囊，他不行。玱玹意在别处，更适合做兄妹。小夭啥时候能跟相柳双宿双飞？
2,我爱自然醒,4,2024/2/5 21:46,上海,22,以后不用讨论谁古装最帅了。邓为最好看毋庸置疑
2,牙牙,4,2023/10/22 7:22,福建,365,只看了妖柳部分和最后两集，但是不妨碍为妖柳举大旗啊。以前看杨紫的戏是她带飞对手（比如李现），这次难得看到一个男演员比她还吸引人。
2,Matsuoka,2,2023/8/10 12:47,福建,759,摄影，服装，配乐，还可以
2,龙小姐,4,2024/1/27 23:53,新疆,12,前十几集很好看能打八分，后来就俗套了，这个剧全靠剧本和杨紫的演技撑起来的，但是她的脸真的越来越僵了。。七，为啥豆瓣不能半颗星
2,浮游海月,1,2024/1/11 0:08,天津,165,还是从影视区吐槽来的。唉，这么多年过去了，女观众们还是吃这套虐女向的东西。因为女主很惨所以在权力上位的男的们都心痛追悔莫及，也就是以虐待弱者来让强者后悔心疼，于是代入弱者女主的观众们就爽了就高潮了。我真……好在已经有越来越多的女性已经清醒过来批判这种趣味和无意识了。
2,野有蔓草,4,2023/10/15 23:41,河北,1,7.4男装比女装部分剧情好看，后边就是宿命的虐感。
2,凯瑟琳奇异KC,3,2023/8/11 20:35,北京,13,发现当乙女游戏来看还挺有意思的@2023-08-1120:35:06
2,蔕,3,2023/10/1 12:47,湖北,755,前十几集在清水镇还是有些意思的，换回女装之后的故事就回到古偶传统了，官配之间的感情互动也在离开清水镇之后变得表面化，就在等你，退婚，等你，退婚之间反复摩擦，牵扯不断，一个有婚约都没退掉的男人，你跟他拉拉扯扯干嘛，当年那个历尽苦难看透世间百态的玟小六是假的吗。所以说，古偶还是古偶，坚持不住全场啊。全剧最亮点的人物，相柳，前期九命，后期防风邶，这个人物丰满，剧情也有意思，可惜嘴硬心软死要面子，抱不得美人归。蠢男主留给女主，真（心疼）男二留给观众，古早作品诚不欺我
2,润月,4,2024/2/18 9:33,安徽,2,其实并没有看完…
2,momotea_Summer,5,2023/10/4 0:51,江苏,277,不是喜欢的类型，但是观感特别好。多多真的给了相柳生命！
2,L.Y.,4,2023/9/28 8:38,上海,331,改编得不错，特别是选角。杨紫确实扛剧。对涂山狐狸无感。玱玹演得不错。丰隆挺有少年感的，比原著人设好。檀健次太惊艳，夭柳党表示很幸福。只是想到结局，怕是更加意难平了。
3,sea,3,2024/4/29 10:26,上海,3,一开始还算紧凑，看着看着就拉胯了。估计所有的女人都哭着喊着想要嫁相柳吧，我也是。。。但是女主确实是个渣女无疑，挺好，很真实，现实中这样左右盘旋衡量的心态，很正常。谁能想到相柳长成这样，竟然是个十级恋爱脑，难道是太寂寞无聊了？紫没得说，演技到古偶里确实是统治区，但是确实没啥挑战啊，难道一把年纪还一直在古偶里打转？
3,永恒的天瓶水,3,2024/1/7 22:42,意大利,96,人人爱我，我爱人人，这个领域是杨紫的统治区。
3,Josee,5,2024/3/6 16:33,吉林,12,看20集很讨厌涂山璟，像知否知否的齐衡
3,离落,4,2023/9/21 23:40,江苏,157,本以为是大女主的玛丽苏古偶剧。没想到是全世界在亏欠女主。女主很懂事，太懂事，事事为他人考虑牺牲。
3,朴实无华的阳光,3,2024/3/19 22:39,上海,7,“务农”时刷完的电视剧，现代技术和装备让古装造型越来越美，几位演员的表演也很不错。虽然是玛丽苏剧情，但是玛丽苏靠自己还是蛮开挂的。
3,ljslajt,4,2024/5/2 21:50,浙江,2,涂山璟真是最大收获/紫妹一带三传奇之作/其实剧本很x但是紫妹carry成功
3,默尔索,5,2023/8/15 13:46,湖北,7,虽然是一女三男，但是剧情确实不错，桐华的小说好好拍绝对好看，步步惊心当初就是按原著还原的，这剧选角也很成功，杨紫张晚意演技很好，几个高光把我感动的哭了几次，邓为檀健次这俩角色人设很好，王弘毅也帅，以后古偶选角都按这个标准卷起来，还怕不爆吗！
3,岁岁长安,5,2024/4/10 1:33,安徽,4,套着仙侠壳子的落地古装，还是王子与公主，帝王和将军那一套。不过言情味的确正，开头就抛了钩子，钩得人想继续看下去，短短三集，就有小王姬和哥哥对面不相识，玟小六救下身份成迷的叶十七，遇见出场美貌但凶恶毫不手软的相柳，叫人好奇和哥哥何时相认，和叶十七如何发展，相柳又是如何爱上她的。而且演员演技够用，玱玹的隐忍与温柔，涂山璟眼里的爱慕，和相柳明面高冷但偶然流露出的尴尬和无措都让角色活了
3,半透明c,4,2023/8/30 11:00,上海,650,跟相柳在一起吧球球了X﹏X
3,妖怪dodo,3,2023/12/18 20:08,北京,252,张晚意、檀健次。起码会演戏
3,鱼肉,3,2023/8/16 23:25,浙江,184,20集弃，杨紫演技真的很绝，三星给杨紫吧讨厌被爱情困住的"伪大女主"古装仙侠额呃呃呃
3,夜深歌,4,2023/8/29 8:41,上海,284,相柳真的很怕be。
3,开奖进行时,5,2024/2/20 19:37,北京,19,修罗场能打起来的原因就是因为三个男的各有各的贱呀
3,阿菲猫猫,5,2023/9/27 22:46,北京,62,2023-09-27可气，居然还有第二季。这是啥坏习惯
3,arrcmis,3,2023/7/24 20:13,北京,4171,看完4集来评，我只能说剧情挺还原的，跟书里的剧情基本一毛一样，整体还行吧，看的出这部S+确实花钱了，相柳的冰面具太美了，檀健次也是最出挑的那个。杨紫演个男人吧，我只能说还行，不穿女装就比较难评。整体看下来是能看的，但因为我之前看过书，对剧情有个大概了解，就还是觉得一女3男的剧情还是有点劝退。
3,许洎央,2,2023/9/25 18:46,湖南,92,场面很大，演技细腻，中间拉拉扯扯
3,Daisy,3,2024/1/17 19:40,天津,6,前面一大半光调得不好，颜色搭配非常差，剧本打磨比较粗糙。像是资金不足的表现。女主演技还行。女主适合头发全扎上去的造型，一旦放下后面的头发就显得好难看，还好剧组有发现这点，只有中间一两集出现头发放了下来。后面直到结尾都是头发全扎起来的。女主脸也太长了，加上发型把脸拉得更长，完全不如她妹妹好看。剩最后几集的时候，突然画面好起来，颜色也鲜艳多了，明显感觉看着舒服多了。不知道是终于摄影换人了，还是新的资金注入。
3,Amaya,3,2023/9/2 17:48,广西,15,7.2有几场戏导得太差
3,予儿,4,2023/8/28 8:29,上海,118,第二季要等半年，让人意难平～
3,AD钙,3,2023/10/6 18:11,贵州,194,前期我还是很喜欢这部剧的，服道化精致，演员颜值对颜狗也很友好，但这部剧属实高开低走，剧情稀烂，看到涂山璟一直退不了婚还画饼时，就已经嗑不起来了，还有相柳，虽说后期疯狂上分，但前期情绪太不稳定，里面的玱玹也是，几次伤害女主，后期也一直利用小夭来做交易，也让人下头看到三十多集女主醒来涂山璟退婚却得知奶奶要去世时，实在撑不下去了，只想说一句，女主实惨，不行咱别恋爱脑碰男人了，和老木他们留在清水镇也挺好的
4,Chloe??Bangerz,4,2023/8/5 19:04,上海,4385,看之前：杨紫怎么又演这种千篇一律的仙侠。。看之后：妈呀这次不一样不一样啊。。。夭柳磕到哭死啊。。。相柳太好哭了。。。只磕这一对。。。其他两个感觉是亲情更多，但是夭柳一起就是会脸红心跳小鹿乱撞的那种啊。。。对檀健次无感但这次他演的相柳这疯批真的喜欢到不行。。
4,朝颜,4,2023/8/8 18:26,日本,1175,远超我期待
4,董小姐,4,2023/10/4 11:13,辽宁,21,看这部剧的我不敢画眼妆，因为妆花了真的很难看！期待第二季！
4,草木深生,4,2024/4/22 5:43,福建,5,垂直入坑相柳/防风邶
4,???????,4,2023/9/29 12:36,辽宁,19,我还算看的过瘾，但是这只是第一部啊！好烦人！什么时候第二部播出啊？
